omega_left,omega_right,linear,angular
0.0,0.0,0.0,0.0
2.1530075136180815,2.1530075136180806,0.3610001121181428,1.1978205162631034e-16
10.357661553325173,-6.633786795038155,0.05664210380880633,-0.5863779532592373
17.341943215808346,-11.932387097356123,-0.015172256244239749,-0.9444363588116755
18.58947080725125,-15.257459740937483,-0.026370747992455732,-1.4087883381322743
10.598464173080169,6.373426247974404,0.24009480545036574,-0.8027652563740099
24.538852387315202,-7.315290396011724,-0.003239106404840729,-0.5317109751527617
9.672629582841687,-1.223724439371705,-0.019447553713410597,-0.24719815478460067
14.499991598839937,-4.199176701833753,-0.015894030283438925,-0.5788893782687744
23.320448800896457,-2.3347145184561544,-0.03478440032078661,-0.362289774241974
10.434217083973051,-8.95252303286907,-0.010267635482181795,-0.4156188767273985
18.55952782233035,0.34226648037171975,0.03529103570866754,-0.06830110286337567
15.90282391931787,-3.960438849531587,0.0015328394474452421,-0.2956614166278902
21.763212334748783,-0.3495189733543441,0.011203979938000552,-0.1618689375895588
11.908050104981822,-7.444007617711965,0.014915774413182648,-0.25709956255261257
21.52184938679624,-0.33040803549718656,-0.005994472667077461,-0.12764355403173602
15.343528862747222,-13.891003311803717,-0.030136098123226564,-0.20090733802329505
17.58901232708548,0.46787319044745385,0.05987850891709644,-0.20402087924614554
19.558104022700448,-10.488717212217058,-0.0028508144385594163,-0.18611816674534223
14.930122336341647,-6.810926368641384,-0.0014005037303889997,-0.31532980905468094
26.24679910583491,-11.912712452920017,-0.06383828345856807,-0.3922963117216756
5.690262428025231,-12.159354711675896,-0.052063070033942505,-0.37838604833881057
12.92391516401602,-14.12814741153351,-0.0661449302045717,-0.6444771388291738
12.935669433770776,-11.189117574134993,-0.017017986387728477,-0.9610668822159709
13.277816078202353,-20.034012431769625,0.05982799303305694,-1.3631971386015354
16.52985066281821,-13.652702976385196,0.06166941480542733,-1.7450128374310345
15.744909623261243,-7.395841461430759,0.0938771265461242,-1.5492818865262283
9.842726295374586,0.8098836532749457,0.36016018465954563,-1.246660822754378
6.443116101824216,3.226734892749847,0.7372255234961343,-0.917870452379205
6.8814229241702,5.418645247020784,1.2261841572344552,-0.4945517985729792
8.486245772287969,7.768904718877369,1.6385218328668183,-0.2777799640489381
10.294982300038601,9.726633266565377,2.0013528682299775,-0.2094914618634279
12.445593916993916,12.759894341930876,2.234860224730617,-0.41665830317891744
15.682607499430755,14.765335341815133,2.401508734800787,-0.6082729248825082
14.722984549083208,13.452486209692886,2.890122461517538,-0.426085348060621
